PURE SILICA, ELECTRODE=TUNGSTEN, TIME=35, POLING_VOLTAGE=3700, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.1e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=984.375, AC_FREQUENCY=4900, PIEZO_FREQUENCY=98.0
Time(s),Voltage(V)
-8.000000000000000654e-05,3.562500000000000389e-02
-7.480000000000000212e-05,3.531250000000000361e-02
-6.960000000000001125e-05,3.468750000000000305e-02
-6.440000000000000683e-05,3.375000000000000222e-02
-5.920000000000000240e-05,3.343750000000000194e-02
-5.400000000000000476e-05,3.218750000000000083e-02
-4.880000000000000711e-05,3.156250000000000028e-02
-4.360000000000000269e-05,3.062500000000000291e-02
-3.840000000000000504e-05,3.093750000000000319e-02
-3.320000000000000739e-05,3.000000000000000236e-02
-2.800000000000000297e-05,2.937500000000000527e-02
-2.280000000000000532e-05,2.937500000000000527e-02
-1.760000000000000767e-05,2.906250000000000500e-02
-1.240000000000000325e-05,2.906250000000000500e-02
-7.199999999999998827e-06,2.906250000000000500e-02
-2.000000000000007956e-06,2.968750000000000208e-02
3.199999999999996467e-06,2.968750000000000208e-02
8.400000000000000890e-06,3.031250000000000264e-02
1.359999999999999176e-05,3.093750000000000319e-02
1.879999999999999618e-05,3.156250000000000028e-02
2.400000000000000061e-05,3.218750000000000083e-02
2.919999999999999148e-05,3.312500000000000167e-02
3.439999999999999590e-05,3.312500000000000167e-02
3.960000000000000033e-05,3.437500000000000278e-02
4.479999999999999120e-05,3.468750000000000305e-02
5.000000000000000917e-05,3.531250000000000361e-02
5.520000000000000004e-05,3.562500000000000389e-02
6.039999999999999091e-05,3.562500000000000389e-02
6.560000000000000889e-05,3.531250000000000361e-02
7.079999999999999976e-05,3.468750000000000305e-02
7.599999999999999063e-05,3.312500000000000167e-02
8.120000000000000861e-05,3.250000000000000111e-02
8.639999999999999948e-05,3.093750000000000319e-02
9.159999999999999035e-05,3.062500000000000291e-02
9.680000000000000833e-05,3.062500000000000291e-02
1.019999999999999992e-04,3.093750000000000319e-02
1.071999999999999901e-04,3.125000000000000000e-02
1.124000000000000080e-04,3.000000000000000236e-02
1.175999999999999989e-04,3.031250000000000264e-02
1.228000000000000033e-04,3.125000000000000000e-02
1.280000000000000213e-04,3.062500000000000291e-02
1.331999999999999851e-04,3.000000000000000236e-02
1.384000000000000031e-04,2.906250000000000500e-02
1.436000000000000210e-04,2.781250000000000389e-02
1.487999999999999848e-04,2.718750000000000333e-02
1.540000000000000028e-04,2.593750000000000222e-02
1.592000000000000207e-04,2.500000000000000139e-02
1.644000000000000387e-04,2.500000000000000139e-02
1.696000000000000025e-04,2.375000000000000375e-02
1.748000000000000205e-04,2.375000000000000375e-02
