PURE SILICA, ELECTRODE=TUNGSTEN, TIME=35, POLING_VOLTAGE=3700, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.1e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=1069.0, AC_FREQUENCY=775, PIEZO_FREQUENCY=15.5
Time(s),Voltage(V)
4.000000000000000192e-04,3.312500000000000167e-02
4.320000000000000380e-04,3.000000000000000236e-02
4.640000000000000027e-04,2.750000000000000361e-02
4.960000000000000216e-04,2.406250000000000056e-02
5.280000000000000405e-04,2.062500000000000444e-02
5.599999999999999509e-04,1.843750000000000250e-02
5.920000000000000782e-04,1.593750000000000375e-02
6.239999999999999887e-04,1.250000000000000416e-02
6.560000000000000076e-04,1.031250000000000222e-02
6.880000000000000265e-04,9.375000000000001388e-03
7.199999999999999369e-04,7.812500000000003469e-03
7.520000000000000642e-04,7.500000000000003192e-03
7.839999999999999747e-04,6.562500000000002359e-03
8.159999999999999936e-04,6.250000000000002082e-03
8.480000000000000124e-04,6.250000000000002082e-03
8.799999999999999229e-04,6.562500000000002359e-03
9.120000000000000502e-04,6.562500000000002359e-03
9.439999999999999607e-04,6.250000000000002082e-03
9.760000000000000880e-04,6.250000000000002082e-03
1.007999999999999998e-03,8.437500000000004025e-03
1.039999999999999909e-03,8.750000000000004302e-03
1.072000000000000036e-03,9.062500000000001110e-03
1.103999999999999947e-03,9.062500000000001110e-03
1.136000000000000074e-03,8.750000000000004302e-03
1.167999999999999984e-03,8.437500000000004025e-03
1.199999999999999895e-03,6.875000000000002637e-03
1.232000000000000022e-03,6.875000000000002637e-03
1.263999999999999933e-03,5.312500000000001249e-03
1.296000000000000060e-03,5.312500000000001249e-03
1.327999999999999970e-03,4.687500000000004163e-03
1.359999999999999881e-03,5.000000000000004441e-03
1.392000000000000008e-03,5.625000000000001527e-03
1.423999999999999919e-03,5.625000000000001527e-03
1.455999999999999829e-03,7.500000000000003192e-03
1.487999999999999956e-03,7.812500000000003469e-03
1.519999999999999867e-03,1.031250000000000222e-02
1.551999999999999994e-03,1.250000000000000416e-02
1.583999999999999905e-03,1.312500000000000125e-02
1.615999999999999815e-03,1.375000000000000180e-02
1.647999999999999942e-03,1.406250000000000208e-02
1.679999999999999853e-03,1.468750000000000264e-02
1.711999999999999980e-03,1.468750000000000264e-02
1.743999999999999891e-03,1.468750000000000264e-02
1.775999999999999801e-03,1.500000000000000291e-02
1.807999999999999928e-03,1.375000000000000180e-02
1.839999999999999839e-03,1.156250000000000333e-02
1.871999999999999966e-03,1.062500000000000250e-02
1.903999999999999877e-03,9.375000000000001388e-03
1.936000000000000004e-03,7.812500000000003469e-03
1.968000000000000131e-03,6.562500000000002359e-03
2.000000000000000042e-03,5.625000000000001527e-03
2.031999999999999952e-03,5.000000000000004441e-03
2.063999999999999863e-03,4.062500000000003608e-03
2.096000000000000207e-03,4.062500000000003608e-03
2.128000000000000117e-03,4.375000000000003886e-03
2.160000000000000028e-03,5.000000000000004441e-03
2.191999999999999938e-03,5.625000000000001527e-03
2.223999999999999849e-03,6.562500000000002359e-03
2.256000000000000193e-03,7.500000000000003192e-03
2.288000000000000103e-03,8.437500000000004025e-03
2.320000000000000014e-03,8.750000000000004302e-03
2.351999999999999924e-03,1.000000000000000194e-02
2.384000000000000268e-03,1.031250000000000222e-02
2.416000000000000179e-03,1.062500000000000250e-02
2.448000000000000089e-03,1.031250000000000222e-02
2.480000000000000000e-03,1.000000000000000194e-02
2.511999999999999910e-03,7.812500000000003469e-03
2.544000000000000254e-03,6.875000000000002637e-03
2.576000000000000165e-03,6.250000000000002082e-03
2.608000000000000075e-03,5.625000000000001527e-03
2.639999999999999986e-03,5.625000000000001527e-03
2.671999999999999896e-03,5.937500000000001804e-03
2.704000000000000240e-03,6.562500000000002359e-03
2.736000000000000151e-03,8.437500000000004025e-03
2.768000000000000061e-03,1.125000000000000305e-02
2.799999999999999972e-03,1.312500000000000125e-02
2.831999999999999882e-03,1.687500000000000458e-02
2.864000000000000226e-03,1.781250000000000194e-02
2.896000000000000137e-03,2.062500000000000444e-02
2.928000000000000047e-03,2.187500000000000555e-02
2.959999999999999958e-03,2.187500000000000555e-02
2.991999999999999868e-03,2.218750000000000236e-02
3.024000000000000212e-03,2.218750000000000236e-02
3.056000000000000123e-03,2.093750000000000472e-02
3.088000000000000033e-03,1.906250000000000305e-02
3.119999999999999944e-03,1.781250000000000194e-02
3.151999999999999854e-03,1.625000000000000402e-02
3.184000000000000198e-03,1.250000000000000416e-02
3.216000000000000109e-03,1.093750000000000278e-02
3.248000000000000019e-03,1.031250000000000222e-02
3.279999999999999930e-03,8.437500000000004025e-03
3.311999999999999840e-03,8.125000000000003747e-03
3.344000000000000184e-03,7.500000000000003192e-03
3.376000000000000095e-03,7.812500000000003469e-03
3.408000000000000005e-03,9.375000000000001388e-03
3.439999999999999915e-03,1.000000000000000194e-02
3.472000000000000260e-03,1.093750000000000278e-02
3.504000000000000170e-03,1.187500000000000361e-02
3.536000000000000081e-03,1.187500000000000361e-02
3.567999999999999991e-03,1.312500000000000125e-02
3.599999999999999901e-03,1.406250000000000208e-02
3.632000000000000246e-03,1.531250000000000319e-02
3.664000000000000156e-03,1.656250000000000430e-02
3.696000000000000067e-03,1.687500000000000458e-02
3.727999999999999977e-03,1.750000000000000167e-02
3.759999999999999887e-03,1.718750000000000139e-02
3.792000000000000232e-03,1.625000000000000402e-02
3.824000000000000142e-03,1.500000000000000291e-02
3.856000000000000053e-03,1.406250000000000208e-02
3.887999999999999963e-03,1.312500000000000125e-02
3.919999999999999873e-03,1.375000000000000180e-02
3.951999999999999784e-03,1.468750000000000264e-02
3.983999999999999694e-03,1.687500000000000458e-02
4.015999999999999605e-03,1.843750000000000250e-02
4.047999999999999515e-03,2.156250000000000527e-02
4.079999999999999426e-03,2.531250000000000167e-02
4.112000000000000204e-03,2.750000000000000361e-02
4.144000000000000114e-03,2.937500000000000527e-02
4.176000000000000024e-03,3.218750000000000083e-02
4.207999999999999935e-03,3.406250000000000250e-02
4.239999999999999845e-03,3.625000000000000444e-02
4.271999999999999756e-03,3.718750000000000527e-02
4.303999999999999666e-03,3.781250000000000583e-02
4.335999999999999577e-03,3.812500000000000611e-02
4.368000000000000355e-03,3.687500000000000500e-02
4.400000000000000265e-03,3.531250000000000361e-02
4.432000000000000176e-03,3.281250000000000139e-02
4.464000000000000086e-03,3.031250000000000264e-02
4.495999999999999996e-03,2.625000000000000250e-02
4.527999999999999907e-03,2.218750000000000236e-02
4.559999999999999817e-03,2.093750000000000472e-02
4.591999999999999728e-03,1.875000000000000278e-02
4.623999999999999638e-03,1.718750000000000139e-02
4.656000000000000416e-03,1.656250000000000430e-02
4.688000000000000327e-03,1.718750000000000139e-02
4.720000000000000237e-03,1.906250000000000305e-02
4.752000000000000147e-03,1.968750000000000361e-02
4.784000000000000058e-03,2.187500000000000555e-02
4.815999999999999968e-03,2.250000000000000264e-02
4.847999999999999879e-03,2.343750000000000347e-02
4.879999999999999789e-03,2.500000000000000139e-02
4.911999999999999700e-03,2.531250000000000167e-02
4.943999999999999610e-03,2.625000000000000250e-02
4.976000000000000388e-03,2.750000000000000361e-02
5.008000000000000299e-03,2.875000000000000472e-02
5.040000000000000209e-03,2.843750000000000444e-02
5.072000000000000119e-03,2.812500000000000416e-02
5.104000000000000030e-03,2.656250000000000278e-02
5.135999999999999940e-03,2.562500000000000194e-02
5.167999999999999851e-03,2.500000000000000139e-02
5.199999999999999761e-03,2.562500000000000194e-02
5.231999999999999672e-03,2.625000000000000250e-02
5.263999999999999582e-03,2.875000000000000472e-02
5.296000000000000360e-03,3.031250000000000264e-02
5.328000000000000271e-03,3.406250000000000250e-02
5.360000000000000181e-03,3.781250000000000583e-02
5.392000000000000091e-03,3.875000000000000666e-02
5.424000000000000002e-03,4.312500000000000361e-02
5.455999999999999912e-03,4.375000000000000416e-02
5.487999999999999823e-03,4.624999999999999944e-02
5.519999999999999733e-03,4.718750000000000722e-02
5.551999999999999644e-03,4.812500000000000111e-02
5.583999999999999554e-03,4.906250000000000194e-02
5.616000000000000332e-03,4.937500000000000222e-02
5.648000000000000242e-03,4.906250000000000194e-02
5.680000000000000153e-03,4.906250000000000194e-02
5.712000000000000063e-03,4.718750000000000722e-02
5.743999999999999974e-03,4.500000000000000527e-02
5.775999999999999884e-03,4.187500000000000250e-02
5.807999999999999795e-03,3.625000000000000444e-02
5.839999999999999705e-03,3.437500000000000278e-02
5.871999999999999616e-03,3.281250000000000139e-02
5.903999999999999526e-03,3.093750000000000319e-02
5.936000000000000304e-03,3.062500000000000291e-02
5.968000000000000214e-03,3.093750000000000319e-02
6.000000000000000125e-03,3.218750000000000083e-02
6.032000000000000035e-03,3.281250000000000139e-02
6.063999999999999946e-03,3.406250000000000250e-02
6.095999999999999856e-03,3.593750000000000416e-02
6.127999999999999767e-03,3.718750000000000527e-02
6.159999999999999677e-03,3.875000000000000666e-02
6.191999999999999588e-03,4.000000000000000083e-02
6.223999999999999498e-03,4.125000000000000194e-02
6.256000000000000276e-03,4.156250000000000222e-02
6.288000000000000186e-03,4.250000000000000305e-02
