PURE SILICA, ELECTRODE=TUNGSTEN, TIME=35, POLING_VOLTAGE=3700, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.1e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=240.0, AC_FREQUENCY=320, PIEZO_FREQUENCY=6.4
Time(s),Voltage(V)
0.000000000000000000e+00,2.656250000000000278e-02
7.799999999999999859e-05,2.812500000000000416e-02
1.559999999999999972e-04,2.875000000000000472e-02
2.339999999999999958e-04,3.156250000000000028e-02
3.119999999999999944e-04,2.968750000000000208e-02
3.899999999999999929e-04,2.406250000000000056e-02
4.679999999999999915e-04,1.968750000000000361e-02
5.460000000000000443e-04,1.843750000000000250e-02
6.239999999999999887e-04,1.718750000000000139e-02
7.019999999999999331e-04,1.593750000000000375e-02
7.799999999999999859e-04,1.343750000000000153e-02
8.580000000000000387e-04,1.250000000000000416e-02
9.359999999999999831e-04,1.062500000000000250e-02
1.013999999999999927e-03,8.750000000000004302e-03
1.092000000000000089e-03,9.375000000000001388e-03
1.170000000000000033e-03,1.125000000000000305e-02
1.247999999999999977e-03,1.281250000000000444e-02
1.325999999999999922e-03,1.468750000000000264e-02
1.403999999999999866e-03,1.781250000000000194e-02
1.482000000000000027e-03,2.000000000000000389e-02
1.559999999999999972e-03,2.218750000000000236e-02
1.637999999999999916e-03,2.437500000000000083e-02
1.716000000000000077e-03,2.750000000000000361e-02
1.794000000000000022e-03,2.843750000000000444e-02
1.871999999999999966e-03,2.968750000000000208e-02
1.949999999999999910e-03,3.062500000000000291e-02
2.027999999999999855e-03,3.156250000000000028e-02
2.105999999999999799e-03,3.281250000000000139e-02
2.184000000000000177e-03,3.281250000000000139e-02
2.262000000000000122e-03,3.218750000000000083e-02
2.340000000000000066e-03,3.093750000000000319e-02
2.418000000000000010e-03,2.843750000000000444e-02
2.495999999999999955e-03,2.750000000000000361e-02
2.573999999999999899e-03,2.750000000000000361e-02
2.651999999999999844e-03,2.843750000000000444e-02
2.729999999999999788e-03,2.812500000000000416e-02
2.807999999999999732e-03,2.781250000000000389e-02
2.886000000000000110e-03,2.718750000000000333e-02
2.964000000000000055e-03,2.625000000000000250e-02
3.041999999999999999e-03,2.625000000000000250e-02
3.119999999999999944e-03,2.625000000000000250e-02
3.197999999999999888e-03,2.593750000000000222e-02
3.275999999999999832e-03,2.468750000000000111e-02
3.353999999999999777e-03,2.312500000000000319e-02
3.432000000000000155e-03,2.062500000000000444e-02
3.510000000000000099e-03,1.937500000000000333e-02
3.588000000000000043e-03,1.812500000000000222e-02
3.665999999999999988e-03,1.687500000000000458e-02
3.743999999999999932e-03,1.562500000000000347e-02
3.821999999999999877e-03,1.375000000000000180e-02
3.899999999999999821e-03,1.281250000000000444e-02
3.977999999999999765e-03,1.281250000000000444e-02
4.055999999999999710e-03,1.281250000000000444e-02
4.133999999999999654e-03,1.281250000000000444e-02
4.211999999999999598e-03,1.406250000000000208e-02
4.289999999999999543e-03,1.468750000000000264e-02
4.368000000000000355e-03,1.562500000000000347e-02
4.446000000000000299e-03,1.812500000000000222e-02
4.524000000000000243e-03,2.031250000000000416e-02
4.602000000000000188e-03,2.343750000000000347e-02
4.680000000000000132e-03,2.562500000000000194e-02
4.758000000000000076e-03,2.687500000000000305e-02
4.836000000000000021e-03,2.812500000000000416e-02
4.913999999999999965e-03,2.906250000000000500e-02
4.991999999999999910e-03,3.000000000000000236e-02
5.069999999999999854e-03,3.031250000000000264e-02
5.147999999999999798e-03,3.062500000000000291e-02
5.225999999999999743e-03,3.000000000000000236e-02
5.303999999999999687e-03,2.906250000000000500e-02
5.381999999999999632e-03,2.812500000000000416e-02
5.459999999999999576e-03,2.750000000000000361e-02
5.537999999999999520e-03,2.687500000000000305e-02
5.615999999999999465e-03,2.656250000000000278e-02
5.694000000000000276e-03,2.562500000000000194e-02
5.772000000000000221e-03,2.531250000000000167e-02
5.850000000000000165e-03,2.531250000000000167e-02
5.928000000000000110e-03,2.625000000000000250e-02
6.006000000000000054e-03,2.656250000000000278e-02
6.083999999999999998e-03,2.750000000000000361e-02
6.161999999999999943e-03,2.750000000000000361e-02
6.239999999999999887e-03,2.656250000000000278e-02
6.317999999999999831e-03,2.437500000000000083e-02
6.395999999999999776e-03,2.312500000000000319e-02
6.473999999999999720e-03,2.125000000000000500e-02
6.551999999999999665e-03,2.062500000000000444e-02
6.629999999999999609e-03,1.906250000000000305e-02
6.707999999999999553e-03,1.718750000000000139e-02
6.785999999999999498e-03,1.562500000000000347e-02
6.864000000000000309e-03,1.375000000000000180e-02
6.942000000000000254e-03,1.250000000000000416e-02
7.020000000000000198e-03,1.156250000000000333e-02
7.098000000000000143e-03,1.125000000000000305e-02
7.176000000000000087e-03,1.156250000000000333e-02
7.254000000000000031e-03,1.218750000000000389e-02
7.331999999999999976e-03,1.437500000000000236e-02
7.409999999999999920e-03,1.625000000000000402e-02
7.487999999999999864e-03,2.000000000000000389e-02
7.565999999999999809e-03,2.312500000000000319e-02
7.643999999999999753e-03,2.468750000000000111e-02
7.721999999999999698e-03,2.750000000000000361e-02
7.799999999999999642e-03,3.125000000000000000e-02
7.877999999999999586e-03,3.375000000000000222e-02
7.955999999999999531e-03,3.718750000000000527e-02
8.033999999999999475e-03,3.843750000000000638e-02
8.111999999999999419e-03,3.937500000000000722e-02
8.189999999999999364e-03,4.000000000000000083e-02
8.267999999999999308e-03,4.000000000000000083e-02
8.345999999999999253e-03,4.000000000000000083e-02
8.423999999999999197e-03,3.937500000000000722e-02
8.501999999999999141e-03,3.906250000000000000e-02
8.579999999999999086e-03,3.875000000000000666e-02
8.657999999999999030e-03,3.843750000000000638e-02
8.736000000000000709e-03,3.843750000000000638e-02
8.814000000000000654e-03,3.812500000000000611e-02
8.892000000000000598e-03,3.843750000000000638e-02
8.970000000000000542e-03,3.812500000000000611e-02
9.048000000000000487e-03,3.843750000000000638e-02
9.126000000000000431e-03,3.843750000000000638e-02
9.204000000000000375e-03,3.875000000000000666e-02
9.282000000000000320e-03,3.875000000000000666e-02
9.360000000000000264e-03,3.875000000000000666e-02
9.438000000000000209e-03,3.843750000000000638e-02
9.516000000000000153e-03,3.812500000000000611e-02
9.594000000000000097e-03,3.687500000000000500e-02
9.672000000000000042e-03,3.593750000000000416e-02
9.749999999999999986e-03,3.406250000000000250e-02
9.827999999999999931e-03,3.250000000000000111e-02
9.905999999999999875e-03,3.093750000000000319e-02
9.983999999999999819e-03,2.906250000000000500e-02
1.006199999999999976e-02,2.750000000000000361e-02
1.013999999999999971e-02,2.656250000000000278e-02
1.021799999999999965e-02,2.593750000000000222e-02
1.029599999999999960e-02,2.593750000000000222e-02
1.037399999999999954e-02,2.656250000000000278e-02
1.045199999999999949e-02,2.750000000000000361e-02
1.052999999999999943e-02,2.906250000000000500e-02
1.060799999999999937e-02,3.062500000000000291e-02
1.068599999999999932e-02,3.406250000000000250e-02
1.076399999999999926e-02,3.593750000000000416e-02
1.084199999999999921e-02,3.843750000000000638e-02
1.091999999999999915e-02,4.062500000000000139e-02
1.099799999999999910e-02,4.187500000000000250e-02
1.107599999999999904e-02,4.343750000000000389e-02
1.115399999999999898e-02,4.437500000000000472e-02
1.123199999999999893e-02,4.500000000000000527e-02
1.131000000000000061e-02,4.593750000000000611e-02
1.138800000000000055e-02,4.624999999999999944e-02
1.146600000000000050e-02,4.656250000000000666e-02
1.154400000000000044e-02,4.656250000000000666e-02
1.162200000000000039e-02,4.624999999999999944e-02
1.170000000000000033e-02,4.624999999999999944e-02
1.177800000000000027e-02,4.593750000000000611e-02
1.185600000000000022e-02,4.531250000000000555e-02
1.193400000000000016e-02,4.562500000000000583e-02
1.201200000000000011e-02,4.562500000000000583e-02
1.209000000000000005e-02,4.500000000000000527e-02
1.216800000000000000e-02,4.531250000000000555e-02
1.224599999999999994e-02,4.562500000000000583e-02
1.232399999999999989e-02,4.531250000000000555e-02
1.240199999999999983e-02,4.531250000000000555e-02
1.247999999999999977e-02,4.500000000000000527e-02
1.255799999999999972e-02,4.500000000000000527e-02
1.263599999999999966e-02,4.468750000000000500e-02
1.271399999999999961e-02,4.468750000000000500e-02
1.279199999999999955e-02,4.375000000000000416e-02
1.286999999999999950e-02,4.375000000000000416e-02
1.294799999999999944e-02,4.281250000000000333e-02
1.302599999999999938e-02,4.156250000000000222e-02
1.310399999999999933e-02,4.125000000000000194e-02
1.318199999999999927e-02,4.062500000000000139e-02
1.325999999999999922e-02,3.937500000000000722e-02
1.333799999999999916e-02,3.875000000000000666e-02
1.341599999999999911e-02,3.937500000000000722e-02
1.349399999999999905e-02,3.968750000000000056e-02
1.357199999999999900e-02,4.125000000000000194e-02
1.364999999999999894e-02,4.218750000000000278e-02
1.372800000000000062e-02,4.312500000000000361e-02
1.380600000000000056e-02,4.437500000000000472e-02
1.388400000000000051e-02,4.468750000000000500e-02
1.396200000000000045e-02,4.593750000000000611e-02
1.404000000000000040e-02,4.624999999999999944e-02
1.411800000000000034e-02,4.624999999999999944e-02
1.419600000000000029e-02,4.624999999999999944e-02
1.427400000000000023e-02,4.562500000000000583e-02
1.435200000000000017e-02,4.531250000000000555e-02
1.443000000000000012e-02,4.500000000000000527e-02
1.450800000000000006e-02,4.531250000000000555e-02
1.458600000000000001e-02,4.468750000000000500e-02
1.466399999999999995e-02,4.468750000000000500e-02
1.474199999999999990e-02,4.468750000000000500e-02
1.481999999999999984e-02,4.500000000000000527e-02
1.489799999999999978e-02,4.500000000000000527e-02
1.497599999999999973e-02,4.500000000000000527e-02
1.505399999999999967e-02,4.531250000000000555e-02
1.513199999999999962e-02,4.531250000000000555e-02
1.520999999999999956e-02,4.500000000000000527e-02
1.528799999999999951e-02,4.531250000000000555e-02
1.536599999999999945e-02,4.531250000000000555e-02
1.544399999999999940e-02,4.531250000000000555e-02
1.552199999999999934e-02,4.562500000000000583e-02
1.559999999999999928e-02,4.562500000000000583e-02
1.567800000000000096e-02,4.593750000000000611e-02
1.575599999999999917e-02,4.593750000000000611e-02
1.583400000000000085e-02,4.593750000000000611e-02
1.591199999999999906e-02,4.593750000000000611e-02
1.599000000000000074e-02,4.593750000000000611e-02
1.606799999999999895e-02,4.562500000000000583e-02
1.614600000000000063e-02,4.562500000000000583e-02
1.622399999999999884e-02,4.531250000000000555e-02
1.630200000000000052e-02,4.500000000000000527e-02
1.637999999999999873e-02,4.468750000000000500e-02
1.645800000000000041e-02,4.468750000000000500e-02
1.653599999999999862e-02,4.468750000000000500e-02
1.661400000000000030e-02,4.500000000000000527e-02
1.669199999999999851e-02,4.468750000000000500e-02
1.677000000000000018e-02,4.531250000000000555e-02
1.684799999999999839e-02,4.593750000000000611e-02
1.692600000000000007e-02,4.593750000000000611e-02
1.700399999999999828e-02,4.593750000000000611e-02
1.708199999999999996e-02,4.656250000000000666e-02
1.715999999999999817e-02,4.593750000000000611e-02
1.723799999999999985e-02,4.562500000000000583e-02
1.731599999999999806e-02,4.437500000000000472e-02
