PURE SILICA, ELECTRODE=TUNGSTEN, TIME=35, POLING_VOLTAGE=3700, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.1e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=237.5, AC_FREQUENCY=240, PIEZO_FREQUENCY=4.8
Time(s),Voltage(V)
-1.000000000000000021e-03,3.625000000000000444e-02
-8.949999999999999623e-04,3.531250000000000361e-02
-7.900000000000000121e-04,3.437500000000000278e-02
-6.850000000000000620e-04,3.375000000000000222e-02
-5.800000000000000034e-04,3.343750000000000194e-02
-4.749999999999999448e-04,3.343750000000000194e-02
-3.699999999999999947e-04,3.375000000000000222e-02
-2.650000000000000445e-04,3.406250000000000250e-02
-1.599999999999999860e-04,3.468750000000000305e-02
-5.499999999999992742e-05,2.812500000000000416e-02
5.000000000000013115e-05,2.937500000000000527e-02
1.549999999999999729e-04,3.156250000000000028e-02
2.600000000000000314e-04,3.312500000000000167e-02
3.650000000000000900e-04,3.406250000000000250e-02
4.699999999999999317e-04,3.187500000000000056e-02
5.749999999999999903e-04,3.500000000000000333e-02
6.800000000000000488e-04,3.500000000000000333e-02
7.850000000000001074e-04,3.656250000000000472e-02
8.900000000000001660e-04,3.781250000000000583e-02
9.950000000000002245e-04,3.781250000000000583e-02
1.100000000000000283e-03,4.156250000000000222e-02
1.204999999999999908e-03,4.218750000000000278e-02
1.309999999999999967e-03,4.375000000000000416e-02
1.415000000000000025e-03,4.437500000000000472e-02
1.520000000000000084e-03,4.500000000000000527e-02
1.625000000000000142e-03,4.500000000000000527e-02
1.730000000000000201e-03,4.500000000000000527e-02
1.835000000000000259e-03,4.437500000000000472e-02
1.939999999999999884e-03,4.406250000000000444e-02
2.044999999999999943e-03,4.406250000000000444e-02
2.150000000000000001e-03,4.343750000000000389e-02
2.255000000000000060e-03,4.250000000000000305e-02
2.360000000000000119e-03,4.031250000000000111e-02
2.465000000000000177e-03,4.000000000000000083e-02
2.570000000000000236e-03,4.062500000000000139e-02
2.675000000000000294e-03,3.968750000000000056e-02
2.780000000000000353e-03,3.843750000000000638e-02
2.884999999999999978e-03,3.593750000000000416e-02
2.990000000000000470e-03,3.281250000000000139e-02
3.095000000000000528e-03,3.187500000000000056e-02
3.200000000000000587e-03,2.843750000000000444e-02
3.304999999999999778e-03,2.593750000000000222e-02
3.409999999999999837e-03,2.375000000000000375e-02
3.514999999999999895e-03,2.187500000000000555e-02
3.619999999999999954e-03,2.156250000000000527e-02
3.725000000000000012e-03,2.093750000000000472e-02
3.830000000000000071e-03,2.031250000000000416e-02
3.935000000000000130e-03,2.250000000000000264e-02
4.040000000000000188e-03,2.406250000000000056e-02
4.145000000000000247e-03,2.437500000000000083e-02
4.250000000000000305e-03,2.593750000000000222e-02
4.355000000000000364e-03,2.687500000000000305e-02
4.460000000000000422e-03,3.187500000000000056e-02
4.565000000000000481e-03,3.468750000000000305e-02
4.670000000000000540e-03,3.562500000000000389e-02
4.775000000000000598e-03,3.718750000000000527e-02
4.879999999999999789e-03,3.750000000000000555e-02
4.984999999999999848e-03,3.781250000000000583e-02
5.089999999999999906e-03,3.937500000000000722e-02
5.194999999999999965e-03,3.968750000000000056e-02
5.300000000000000024e-03,4.125000000000000194e-02
5.405000000000000082e-03,4.187500000000000250e-02
5.510000000000000141e-03,4.437500000000000472e-02
5.615000000000000199e-03,4.437500000000000472e-02
5.720000000000000258e-03,4.500000000000000527e-02
5.825000000000000316e-03,4.562500000000000583e-02
5.930000000000000375e-03,4.593750000000000611e-02
6.035000000000000434e-03,4.593750000000000611e-02
6.140000000000000492e-03,4.624999999999999944e-02
6.245000000000000551e-03,4.531250000000000555e-02
6.350000000000000609e-03,4.531250000000000555e-02
6.455000000000000668e-03,4.406250000000000444e-02
6.560000000000000726e-03,4.281250000000000333e-02
6.664999999999999918e-03,4.093750000000000167e-02
6.769999999999999976e-03,3.750000000000000555e-02
6.875000000000000035e-03,3.625000000000000444e-02
6.980000000000000961e-03,3.406250000000000250e-02
7.085000000000000152e-03,3.281250000000000139e-02
7.190000000000001078e-03,3.093750000000000319e-02
7.295000000000000269e-03,3.093750000000000319e-02
7.400000000000001195e-03,3.031250000000000264e-02
7.505000000000000386e-03,2.968750000000000208e-02
7.609999999999999577e-03,2.875000000000000472e-02
7.715000000000000503e-03,2.812500000000000416e-02
7.820000000000000562e-03,2.750000000000000361e-02
7.925000000000001488e-03,2.656250000000000278e-02
8.029999999999998944e-03,2.593750000000000222e-02
8.134999999999999870e-03,2.531250000000000167e-02
8.240000000000000796e-03,2.437500000000000083e-02
8.345000000000001722e-03,2.531250000000000167e-02
8.449999999999999178e-03,2.656250000000000278e-02
8.555000000000000104e-03,2.812500000000000416e-02
8.660000000000001030e-03,2.937500000000000527e-02
8.765000000000001956e-03,3.031250000000000264e-02
8.869999999999999413e-03,3.343750000000000194e-02
8.975000000000000339e-03,3.656250000000000472e-02
9.080000000000001265e-03,3.875000000000000666e-02
9.184999999999998721e-03,4.062500000000000139e-02
9.289999999999999647e-03,4.187500000000000250e-02
9.395000000000000573e-03,4.343750000000000389e-02
9.500000000000001499e-03,4.437500000000000472e-02
9.604999999999998955e-03,4.406250000000000444e-02
9.709999999999999881e-03,4.437500000000000472e-02
9.815000000000000807e-03,4.500000000000000527e-02
9.920000000000001733e-03,4.500000000000000527e-02
1.002499999999999919e-02,4.468750000000000500e-02
1.013000000000000012e-02,4.437500000000000472e-02
1.023500000000000104e-02,4.375000000000000416e-02
1.034000000000000197e-02,4.375000000000000416e-02
1.044499999999999942e-02,4.343750000000000389e-02
1.055000000000000035e-02,4.312500000000000361e-02
1.065500000000000128e-02,4.281250000000000333e-02
1.075999999999999873e-02,4.218750000000000278e-02
1.086499999999999966e-02,4.000000000000000083e-02
1.097000000000000058e-02,3.781250000000000583e-02
1.107500000000000151e-02,3.562500000000000389e-02
1.117999999999999897e-02,3.500000000000000333e-02
1.128499999999999989e-02,3.093750000000000319e-02
1.139000000000000082e-02,3.031250000000000264e-02
1.149500000000000174e-02,2.687500000000000305e-02
1.159999999999999920e-02,2.312500000000000319e-02
1.170500000000000013e-02,2.281250000000000291e-02
1.181000000000000105e-02,2.156250000000000527e-02
1.191500000000000198e-02,2.093750000000000472e-02
1.201999999999999943e-02,2.000000000000000389e-02
1.212500000000000036e-02,2.000000000000000389e-02
1.223000000000000129e-02,2.062500000000000444e-02
1.233500000000000221e-02,2.187500000000000555e-02
1.243999999999999967e-02,2.187500000000000555e-02
1.254500000000000060e-02,2.312500000000000319e-02
1.265000000000000152e-02,2.375000000000000375e-02
1.275499999999999898e-02,2.500000000000000139e-02
1.285999999999999990e-02,2.656250000000000278e-02
1.296500000000000083e-02,2.750000000000000361e-02
1.307000000000000176e-02,2.937500000000000527e-02
1.317499999999999921e-02,3.218750000000000083e-02
1.328000000000000014e-02,3.218750000000000083e-02
1.338500000000000106e-02,3.437500000000000278e-02
1.349000000000000199e-02,3.750000000000000555e-02
