PURE SILICA, ELECTRODE=TUNGSTEN, TIME=35, POLING_VOLTAGE=3700, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.1e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=701.25, AC_FREQUENCY=2050, PIEZO_FREQUENCY=41.0
Time(s),Voltage(V)
2.000000000000000096e-04,1.812500000000000222e-02
2.120000000000000031e-04,1.656250000000000430e-02
2.240000000000000237e-04,1.625000000000000402e-02
2.360000000000000173e-04,1.500000000000000291e-02
2.480000000000000108e-04,1.375000000000000180e-02
2.600000000000000314e-04,1.312500000000000125e-02
2.719999999999999979e-04,1.218750000000000389e-02
2.840000000000000185e-04,1.281250000000000444e-02
2.960000000000000391e-04,1.281250000000000444e-02
3.080000000000000055e-04,1.250000000000000416e-02
3.200000000000000262e-04,1.250000000000000416e-02
3.320000000000000468e-04,1.281250000000000444e-02
3.440000000000000132e-04,1.375000000000000180e-02
3.559999999999999797e-04,1.468750000000000264e-02
3.680000000000000545e-04,1.500000000000000291e-02
3.800000000000000209e-04,1.562500000000000347e-02
3.919999999999999873e-04,1.656250000000000430e-02
4.040000000000000080e-04,1.750000000000000167e-02
4.160000000000000286e-04,1.718750000000000139e-02
4.279999999999999950e-04,1.656250000000000430e-02
4.400000000000000157e-04,1.593750000000000375e-02
4.520000000000000363e-04,1.500000000000000291e-02
4.640000000000000027e-04,1.468750000000000264e-02
4.759999999999999691e-04,1.468750000000000264e-02
4.880000000000000440e-04,1.437500000000000236e-02
5.000000000000000104e-04,1.406250000000000208e-02
5.119999999999999768e-04,1.312500000000000125e-02
5.240000000000000517e-04,1.250000000000000416e-02
5.360000000000000181e-04,1.125000000000000305e-02
5.479999999999999845e-04,1.062500000000000250e-02
5.600000000000000594e-04,1.000000000000000194e-02
5.720000000000000258e-04,9.687500000000001665e-03
5.839999999999999922e-04,9.062500000000001110e-03
5.960000000000000671e-04,8.437500000000004025e-03
6.080000000000000335e-04,8.437500000000004025e-03
6.199999999999999999e-04,7.812500000000003469e-03
6.319999999999999663e-04,7.500000000000003192e-03
6.440000000000000412e-04,7.500000000000003192e-03
6.560000000000000076e-04,7.187500000000002914e-03
6.679999999999999740e-04,6.875000000000002637e-03
6.800000000000000488e-04,6.562500000000002359e-03
6.920000000000000153e-04,6.250000000000002082e-03
7.039999999999999817e-04,5.937500000000001804e-03
7.159999999999999481e-04,5.625000000000001527e-03
7.280000000000000230e-04,5.312500000000001249e-03
7.399999999999999894e-04,5.312500000000001249e-03
7.519999999999999558e-04,5.000000000000004441e-03
7.640000000000000306e-04,5.937500000000001804e-03
7.759999999999999971e-04,6.250000000000002082e-03
7.879999999999999635e-04,6.875000000000002637e-03
8.000000000000000383e-04,7.812500000000003469e-03
8.120000000000000048e-04,9.687500000000001665e-03
8.239999999999999712e-04,1.062500000000000250e-02
8.360000000000000460e-04,1.156250000000000333e-02
8.480000000000000124e-04,1.281250000000000444e-02
8.599999999999999789e-04,1.281250000000000444e-02
8.720000000000000537e-04,1.312500000000000125e-02
8.840000000000000201e-04,1.312500000000000125e-02
8.959999999999999866e-04,1.343750000000000153e-02
9.079999999999999530e-04,1.406250000000000208e-02
9.200000000000000278e-04,1.531250000000000319e-02
9.319999999999999942e-04,1.562500000000000347e-02
9.439999999999999607e-04,1.593750000000000375e-02
9.560000000000000355e-04,1.562500000000000347e-02
9.680000000000000019e-04,1.562500000000000347e-02
9.799999999999999684e-04,1.531250000000000319e-02
9.920000000000000432e-04,1.562500000000000347e-02
1.004000000000000118e-03,1.500000000000000291e-02
1.015999999999999976e-03,1.437500000000000236e-02
1.028000000000000051e-03,1.375000000000000180e-02
1.040000000000000126e-03,1.343750000000000153e-02
1.051999999999999984e-03,1.281250000000000444e-02
1.064000000000000059e-03,1.156250000000000333e-02
1.076000000000000133e-03,1.093750000000000278e-02
1.087999999999999991e-03,1.062500000000000250e-02
1.100000000000000066e-03,9.687500000000001665e-03
1.112000000000000141e-03,9.062500000000001110e-03
1.123999999999999999e-03,8.437500000000004025e-03
1.136000000000000074e-03,8.125000000000003747e-03
1.148000000000000149e-03,7.500000000000003192e-03
1.160000000000000007e-03,7.187500000000002914e-03
1.172000000000000082e-03,6.562500000000002359e-03
1.184000000000000156e-03,6.562500000000002359e-03
1.196000000000000014e-03,6.562500000000002359e-03
1.208000000000000089e-03,6.562500000000002359e-03
1.220000000000000164e-03,6.562500000000002359e-03
1.232000000000000022e-03,6.875000000000002637e-03
1.244000000000000097e-03,7.812500000000003469e-03
1.256000000000000172e-03,8.750000000000004302e-03
1.268000000000000030e-03,1.062500000000000250e-02
1.280000000000000105e-03,1.156250000000000333e-02
1.292000000000000180e-03,1.312500000000000125e-02
1.304000000000000038e-03,1.468750000000000264e-02
1.316000000000000112e-03,1.656250000000000430e-02
1.328000000000000187e-03,1.750000000000000167e-02
1.340000000000000045e-03,1.875000000000000278e-02
1.352000000000000120e-03,2.062500000000000444e-02
1.364000000000000195e-03,2.125000000000000500e-02
1.376000000000000053e-03,2.187500000000000555e-02
1.388000000000000128e-03,2.250000000000000264e-02
1.400000000000000203e-03,2.343750000000000347e-02
1.412000000000000061e-03,2.343750000000000347e-02
1.424000000000000135e-03,2.375000000000000375e-02
1.436000000000000210e-03,2.406250000000000056e-02
1.448000000000000068e-03,2.406250000000000056e-02
1.460000000000000143e-03,2.406250000000000056e-02
1.472000000000000218e-03,2.343750000000000347e-02
1.484000000000000076e-03,2.312500000000000319e-02
1.496000000000000151e-03,2.187500000000000555e-02
1.508000000000000226e-03,2.187500000000000555e-02
1.520000000000000084e-03,2.062500000000000444e-02
1.532000000000000159e-03,1.875000000000000278e-02
1.544000000000000233e-03,1.750000000000000167e-02
1.556000000000000091e-03,1.718750000000000139e-02
1.568000000000000166e-03,1.593750000000000375e-02
1.580000000000000024e-03,1.468750000000000264e-02
1.592000000000000099e-03,1.343750000000000153e-02
1.604000000000000174e-03,1.250000000000000416e-02
1.616000000000000032e-03,1.187500000000000361e-02
1.628000000000000107e-03,1.093750000000000278e-02
1.640000000000000182e-03,1.000000000000000194e-02
1.652000000000000040e-03,9.375000000000001388e-03
1.664000000000000114e-03,9.062500000000001110e-03
1.676000000000000189e-03,8.437500000000004025e-03
1.688000000000000047e-03,8.125000000000003747e-03
1.700000000000000122e-03,7.812500000000003469e-03
1.712000000000000197e-03,7.500000000000003192e-03
1.724000000000000055e-03,6.875000000000002637e-03
1.736000000000000130e-03,7.187500000000002914e-03
1.748000000000000205e-03,7.812500000000003469e-03
1.760000000000000063e-03,8.437500000000004025e-03
1.772000000000000138e-03,8.750000000000004302e-03
1.784000000000000212e-03,9.687500000000001665e-03
1.796000000000000070e-03,1.062500000000000250e-02
1.808000000000000145e-03,1.156250000000000333e-02
1.820000000000000220e-03,1.156250000000000333e-02
