PURE SILICA, ELECTRODE=TUNGSTEN, TIME=35, POLING_VOLTAGE=3700, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.1e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=238.75, AC_FREQUENCY=210, PIEZO_FREQUENCY=4.2
Time(s),Voltage(V)
-1.000000000000000021e-03,2.343750000000000347e-02
-8.800000000000000313e-04,2.531250000000000167e-02
-7.600000000000000418e-04,2.656250000000000278e-02
-6.399999999999999439e-04,2.937500000000000527e-02
-5.200000000000000629e-04,3.093750000000000319e-02
-3.999999999999999650e-04,3.281250000000000139e-02
-2.799999999999999755e-04,3.406250000000000250e-02
-1.599999999999999860e-04,3.437500000000000278e-02
-3.999999999999999650e-05,3.437500000000000278e-02
7.999999999999999299e-05,3.468750000000000305e-02
2.000000000000000909e-04,3.000000000000000236e-02
3.199999999999999720e-04,2.781250000000000389e-02
4.400000000000000699e-04,3.062500000000000291e-02
5.599999999999999509e-04,3.468750000000000305e-02
6.800000000000000488e-04,4.062500000000000139e-02
7.999999999999999299e-04,4.156250000000000222e-02
9.200000000000000278e-04,4.218750000000000278e-02
1.040000000000000126e-03,4.343750000000000389e-02
1.160000000000000007e-03,4.437500000000000472e-02
1.279999999999999888e-03,4.468750000000000500e-02
1.400000000000000203e-03,4.375000000000000416e-02
1.520000000000000084e-03,4.312500000000000361e-02
1.639999999999999965e-03,4.187500000000000250e-02
1.759999999999999846e-03,4.031250000000000111e-02
1.880000000000000161e-03,4.000000000000000083e-02
2.000000000000000042e-03,4.093750000000000167e-02
2.119999999999999923e-03,4.187500000000000250e-02
2.240000000000000237e-03,4.218750000000000278e-02
2.360000000000000119e-03,4.281250000000000333e-02
2.480000000000000000e-03,4.343750000000000389e-02
2.599999999999999881e-03,4.468750000000000500e-02
2.720000000000000195e-03,4.437500000000000472e-02
2.840000000000000076e-03,4.406250000000000444e-02
2.959999999999999958e-03,4.281250000000000333e-02
3.080000000000000272e-03,4.281250000000000333e-02
3.199999999999999720e-03,4.187500000000000250e-02
3.320000000000000034e-03,4.031250000000000111e-02
3.440000000000000349e-03,3.968750000000000056e-02
3.559999999999999797e-03,4.062500000000000139e-02
3.680000000000000111e-03,4.125000000000000194e-02
3.800000000000000426e-03,4.187500000000000250e-02
3.919999999999999873e-03,4.312500000000000361e-02
4.040000000000000188e-03,4.437500000000000472e-02
4.160000000000000503e-03,4.468750000000000500e-02
4.279999999999999950e-03,4.500000000000000527e-02
4.400000000000000265e-03,4.468750000000000500e-02
4.519999999999999712e-03,4.500000000000000527e-02
4.640000000000000027e-03,4.468750000000000500e-02
4.760000000000000342e-03,4.437500000000000472e-02
4.879999999999999789e-03,4.437500000000000472e-02
5.000000000000000104e-03,4.437500000000000472e-02
5.120000000000000419e-03,4.406250000000000444e-02
5.239999999999999866e-03,4.468750000000000500e-02
5.360000000000000181e-03,4.468750000000000500e-02
5.480000000000000496e-03,4.500000000000000527e-02
5.599999999999999943e-03,4.500000000000000527e-02
5.720000000000000258e-03,4.500000000000000527e-02
5.840000000000000573e-03,4.468750000000000500e-02
5.960000000000000020e-03,4.406250000000000444e-02
6.080000000000000335e-03,4.312500000000000361e-02
6.199999999999999782e-03,4.250000000000000305e-02
6.320000000000000097e-03,4.093750000000000167e-02
6.440000000000000412e-03,4.093750000000000167e-02
6.559999999999999859e-03,4.062500000000000139e-02
6.680000000000000174e-03,4.093750000000000167e-02
6.800000000000000488e-03,4.125000000000000194e-02
6.919999999999999936e-03,4.218750000000000278e-02
7.040000000000000251e-03,4.312500000000000361e-02
7.160000000000000565e-03,4.312500000000000361e-02
7.280000000000000880e-03,4.343750000000000389e-02
7.399999999999999460e-03,4.343750000000000389e-02
7.519999999999999775e-03,4.343750000000000389e-02
7.640000000000000090e-03,4.281250000000000333e-02
7.760000000000000404e-03,4.093750000000000167e-02
7.880000000000001587e-03,4.000000000000000083e-02
8.000000000000000167e-03,3.875000000000000666e-02
8.119999999999998747e-03,3.875000000000000666e-02
8.240000000000000796e-03,3.875000000000000666e-02
8.359999999999999376e-03,3.906250000000000000e-02
8.480000000000001426e-03,4.000000000000000083e-02
8.600000000000000006e-03,4.031250000000000111e-02
8.719999999999998586e-03,4.062500000000000139e-02
8.840000000000000635e-03,4.031250000000000111e-02
8.959999999999999215e-03,3.937500000000000722e-02
9.080000000000001265e-03,3.843750000000000638e-02
9.199999999999999845e-03,3.687500000000000500e-02
9.320000000000001894e-03,3.593750000000000416e-02
9.440000000000000474e-03,3.562500000000000389e-02
9.559999999999999054e-03,3.531250000000000361e-02
9.680000000000001104e-03,3.625000000000000444e-02
9.799999999999999684e-03,3.687500000000000500e-02
9.920000000000001733e-03,3.843750000000000638e-02
1.004000000000000031e-02,3.968750000000000056e-02
1.015999999999999889e-02,4.062500000000000139e-02
1.028000000000000094e-02,4.187500000000000250e-02
1.039999999999999952e-02,4.187500000000000250e-02
1.052000000000000157e-02,4.125000000000000194e-02
1.064000000000000015e-02,4.000000000000000083e-02
1.075999999999999873e-02,3.781250000000000583e-02
1.088000000000000078e-02,3.625000000000000444e-02
1.099999999999999936e-02,3.250000000000000111e-02
1.112000000000000141e-02,3.156250000000000028e-02
1.123999999999999999e-02,3.125000000000000000e-02
1.135999999999999857e-02,3.093750000000000319e-02
1.148000000000000062e-02,3.375000000000000222e-02
1.159999999999999920e-02,3.437500000000000278e-02
1.172000000000000125e-02,3.562500000000000389e-02
1.183999999999999983e-02,3.656250000000000472e-02
1.196000000000000188e-02,3.625000000000000444e-02
1.208000000000000046e-02,3.625000000000000444e-02
1.219999999999999904e-02,3.468750000000000305e-02
1.232000000000000109e-02,3.406250000000000250e-02
1.243999999999999967e-02,3.218750000000000083e-02
1.256000000000000172e-02,2.906250000000000500e-02
1.268000000000000030e-02,2.812500000000000416e-02
1.279999999999999888e-02,2.750000000000000361e-02
1.292000000000000093e-02,2.812500000000000416e-02
1.303999999999999951e-02,2.843750000000000444e-02
1.316000000000000156e-02,3.093750000000000319e-02
1.328000000000000014e-02,3.187500000000000056e-02
1.339999999999999872e-02,3.218750000000000083e-02
1.352000000000000077e-02,3.281250000000000139e-02
1.363999999999999935e-02,3.281250000000000139e-02
1.376000000000000140e-02,3.250000000000000111e-02
1.387999999999999998e-02,3.250000000000000111e-02
1.400000000000000203e-02,3.281250000000000139e-02
1.412000000000000061e-02,3.312500000000000167e-02
1.423999999999999919e-02,3.406250000000000250e-02
1.436000000000000124e-02,3.531250000000000361e-02
1.447999999999999982e-02,3.656250000000000472e-02
1.460000000000000187e-02,3.718750000000000527e-02
1.472000000000000045e-02,3.812500000000000611e-02
1.483999999999999903e-02,3.875000000000000666e-02
1.496000000000000107e-02,3.875000000000000666e-02
1.507999999999999965e-02,3.875000000000000666e-02
1.519999999999999823e-02,3.781250000000000583e-02
1.532000000000000028e-02,3.593750000000000416e-02
1.543999999999999886e-02,3.406250000000000250e-02
1.556000000000000091e-02,3.312500000000000167e-02
1.567999999999999949e-02,3.281250000000000139e-02
1.579999999999999807e-02,3.250000000000000111e-02
1.592000000000000012e-02,3.312500000000000167e-02
1.603999999999999870e-02,3.312500000000000167e-02
1.616000000000000075e-02,3.375000000000000222e-02
1.627999999999999933e-02,3.406250000000000250e-02
1.639999999999999791e-02,3.406250000000000250e-02
1.651999999999999996e-02,3.343750000000000194e-02
1.663999999999999854e-02,3.312500000000000167e-02
1.676000000000000059e-02,3.218750000000000083e-02
1.687999999999999917e-02,2.968750000000000208e-02
1.700000000000000122e-02,2.937500000000000527e-02
1.711999999999999980e-02,2.937500000000000527e-02
1.723999999999999838e-02,2.968750000000000208e-02
1.736000000000000043e-02,3.062500000000000291e-02
1.747999999999999901e-02,3.125000000000000000e-02
1.760000000000000106e-02,3.125000000000000000e-02
1.771999999999999964e-02,3.125000000000000000e-02
1.783999999999999822e-02,3.062500000000000291e-02
1.796000000000000027e-02,3.031250000000000264e-02
1.807999999999999885e-02,2.906250000000000500e-02
1.820000000000000090e-02,2.812500000000000416e-02
1.831999999999999948e-02,2.781250000000000389e-02
1.843999999999999806e-02,2.656250000000000278e-02
1.856000000000000011e-02,2.687500000000000305e-02
1.867999999999999869e-02,2.687500000000000305e-02
