PURE SILICA, ELECTRODE=TUNGSTEN, TIME=35, POLING_VOLTAGE=3700, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.1e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=236.25, AC_FREQUENCY=460, PIEZO_FREQUENCY=9.2
Time(s),Voltage(V)
4.000000000000000192e-04,1.781250000000000194e-02
4.540000000000000307e-04,1.656250000000000430e-02
5.079999999999999880e-04,1.937500000000000333e-02
5.619999999999999996e-04,2.250000000000000264e-02
6.160000000000000111e-04,2.406250000000000056e-02
6.700000000000000226e-04,2.656250000000000278e-02
7.240000000000000342e-04,2.812500000000000416e-02
7.780000000000000457e-04,2.968750000000000208e-02
8.320000000000000572e-04,2.875000000000000472e-02
8.860000000000000688e-04,2.718750000000000333e-02
9.400000000000000803e-04,2.812500000000000416e-02
9.940000000000000918e-04,2.875000000000000472e-02
1.047999999999999887e-03,2.687500000000000305e-02
1.101999999999999898e-03,2.531250000000000167e-02
1.155999999999999910e-03,2.468750000000000111e-02
1.209999999999999921e-03,2.531250000000000167e-02
1.263999999999999933e-03,2.406250000000000056e-02
1.317999999999999944e-03,2.218750000000000236e-02
1.371999999999999956e-03,1.937500000000000333e-02
1.425999999999999967e-03,1.906250000000000305e-02
1.479999999999999979e-03,1.781250000000000194e-02
1.533999999999999990e-03,1.625000000000000402e-02
1.588000000000000002e-03,1.468750000000000264e-02
1.642000000000000013e-03,1.343750000000000153e-02
1.695999999999999808e-03,1.343750000000000153e-02
1.749999999999999820e-03,1.343750000000000153e-02
1.803999999999999831e-03,1.250000000000000416e-02
1.857999999999999843e-03,1.218750000000000389e-02
1.911999999999999854e-03,1.218750000000000389e-02
1.965999999999999866e-03,1.281250000000000444e-02
2.020000000000000094e-03,1.375000000000000180e-02
2.073999999999999889e-03,1.406250000000000208e-02
2.128000000000000117e-03,1.468750000000000264e-02
2.181999999999999912e-03,1.687500000000000458e-02
2.236000000000000140e-03,1.687500000000000458e-02
2.289999999999999935e-03,1.718750000000000139e-02
2.344000000000000163e-03,1.750000000000000167e-02
2.397999999999999958e-03,1.875000000000000278e-02
2.452000000000000186e-03,1.968750000000000361e-02
2.505999999999999981e-03,2.031250000000000416e-02
2.560000000000000209e-03,2.125000000000000500e-02
2.614000000000000004e-03,2.343750000000000347e-02
2.668000000000000232e-03,2.562500000000000194e-02
2.722000000000000027e-03,2.593750000000000222e-02
2.776000000000000256e-03,2.531250000000000167e-02
2.830000000000000050e-03,2.562500000000000194e-02
2.884000000000000279e-03,2.531250000000000167e-02
2.938000000000000073e-03,2.562500000000000194e-02
2.991999999999999868e-03,2.562500000000000194e-02
3.046000000000000096e-03,2.531250000000000167e-02
3.099999999999999891e-03,2.593750000000000222e-02
3.154000000000000119e-03,2.625000000000000250e-02
3.207999999999999914e-03,2.562500000000000194e-02
3.262000000000000142e-03,2.437500000000000083e-02
3.315999999999999937e-03,2.343750000000000347e-02
3.370000000000000166e-03,2.250000000000000264e-02
3.423999999999999960e-03,2.093750000000000472e-02
3.478000000000000189e-03,2.000000000000000389e-02
3.531999999999999983e-03,1.875000000000000278e-02
3.586000000000000212e-03,1.781250000000000194e-02
3.640000000000000006e-03,1.718750000000000139e-02
3.694000000000000235e-03,1.562500000000000347e-02
3.748000000000000029e-03,1.562500000000000347e-02
3.802000000000000258e-03,1.406250000000000208e-02
3.856000000000000053e-03,1.312500000000000125e-02
3.909999999999999414e-03,1.218750000000000389e-02
3.963999999999999642e-03,1.125000000000000305e-02
4.017999999999999870e-03,1.093750000000000278e-02
4.072000000000000099e-03,1.093750000000000278e-02
4.125999999999999460e-03,1.062500000000000250e-02
4.179999999999999688e-03,1.000000000000000194e-02
4.233999999999999916e-03,1.000000000000000194e-02
4.288000000000000145e-03,1.031250000000000222e-02
4.342000000000000373e-03,1.062500000000000250e-02
4.395999999999999734e-03,1.125000000000000305e-02
4.449999999999999963e-03,1.187500000000000361e-02
4.504000000000000191e-03,1.375000000000000180e-02
4.558000000000000419e-03,1.531250000000000319e-02
4.611999999999999780e-03,1.625000000000000402e-02
4.666000000000000009e-03,1.750000000000000167e-02
4.720000000000000237e-03,2.000000000000000389e-02
4.773999999999999598e-03,2.125000000000000500e-02
4.827999999999999826e-03,2.156250000000000527e-02
4.882000000000000055e-03,2.343750000000000347e-02
4.936000000000000283e-03,2.406250000000000056e-02
4.989999999999999644e-03,2.593750000000000222e-02
5.043999999999999873e-03,2.656250000000000278e-02
5.098000000000000101e-03,2.718750000000000333e-02
5.152000000000000329e-03,2.718750000000000333e-02
5.205999999999999690e-03,2.750000000000000361e-02
5.259999999999999919e-03,2.718750000000000333e-02
5.314000000000000147e-03,2.656250000000000278e-02
5.368000000000000375e-03,2.593750000000000222e-02
5.421999999999999736e-03,2.500000000000000139e-02
5.475999999999999965e-03,2.406250000000000056e-02
5.530000000000000193e-03,2.218750000000000236e-02
5.583999999999999554e-03,2.093750000000000472e-02
5.637999999999999783e-03,2.031250000000000416e-02
5.692000000000000011e-03,1.812500000000000222e-02
5.746000000000000239e-03,1.718750000000000139e-02
5.799999999999999600e-03,1.437500000000000236e-02
5.853999999999999829e-03,1.281250000000000444e-02
5.908000000000000057e-03,1.250000000000000416e-02
5.962000000000000285e-03,1.156250000000000333e-02
6.015999999999999646e-03,1.062500000000000250e-02
6.069999999999999875e-03,9.687500000000001665e-03
6.124000000000000103e-03,9.062500000000001110e-03
6.178000000000000332e-03,8.750000000000004302e-03
6.231999999999999693e-03,8.437500000000004025e-03
6.285999999999999921e-03,8.437500000000004025e-03
6.340000000000000149e-03,8.437500000000004025e-03
6.394000000000000378e-03,8.750000000000004302e-03
6.447999999999999739e-03,9.375000000000001388e-03
6.501999999999999967e-03,1.093750000000000278e-02
6.556000000000000195e-03,1.218750000000000389e-02
6.609999999999999556e-03,1.312500000000000125e-02
6.663999999999999785e-03,1.437500000000000236e-02
6.718000000000000013e-03,1.468750000000000264e-02
6.772000000000000242e-03,1.750000000000000167e-02
6.825999999999999603e-03,1.906250000000000305e-02
6.879999999999999831e-03,1.968750000000000361e-02
6.934000000000000059e-03,2.187500000000000555e-02
6.988000000000000288e-03,2.250000000000000264e-02
7.041999999999999649e-03,2.437500000000000083e-02
7.095999999999999877e-03,2.468750000000000111e-02
7.150000000000000105e-03,2.531250000000000167e-02
7.204000000000000334e-03,2.625000000000000250e-02
7.257999999999999695e-03,2.625000000000000250e-02
7.311999999999999923e-03,2.593750000000000222e-02
7.366000000000000152e-03,2.593750000000000222e-02
7.419999999999999513e-03,2.562500000000000194e-02
7.473999999999999741e-03,2.468750000000000111e-02
7.527999999999999969e-03,2.343750000000000347e-02
7.582000000000000198e-03,2.281250000000000291e-02
7.635999999999999559e-03,2.156250000000000527e-02
7.689999999999999787e-03,1.937500000000000333e-02
7.744000000000000015e-03,1.843750000000000250e-02
7.798000000000000244e-03,1.781250000000000194e-02
7.851999999999999605e-03,1.593750000000000375e-02
7.905999999999999833e-03,1.562500000000000347e-02
7.960000000000000062e-03,1.468750000000000264e-02
8.014000000000000290e-03,1.375000000000000180e-02
8.067999999999998784e-03,1.250000000000000416e-02
8.121999999999999012e-03,1.187500000000000361e-02
8.175999999999999240e-03,1.093750000000000278e-02
8.229999999999999469e-03,1.062500000000000250e-02
8.283999999999999697e-03,1.000000000000000194e-02
8.337999999999998191e-03,1.031250000000000222e-02
8.391999999999998419e-03,1.031250000000000222e-02
8.445999999999998648e-03,1.031250000000000222e-02
8.499999999999998876e-03,1.093750000000000278e-02
8.553999999999999104e-03,1.125000000000000305e-02
8.607999999999999333e-03,1.125000000000000305e-02
8.661999999999999561e-03,1.218750000000000389e-02
8.715999999999999789e-03,1.218750000000000389e-02
8.769999999999998283e-03,1.312500000000000125e-02
8.823999999999998511e-03,1.343750000000000153e-02
8.877999999999998740e-03,1.468750000000000264e-02
8.931999999999998968e-03,1.562500000000000347e-02
8.985999999999999197e-03,1.656250000000000430e-02
9.039999999999999425e-03,1.750000000000000167e-02
9.093999999999999653e-03,1.843750000000000250e-02
9.147999999999998147e-03,1.875000000000000278e-02
9.201999999999998375e-03,1.968750000000000361e-02
9.255999999999998604e-03,2.031250000000000416e-02
9.309999999999998832e-03,2.093750000000000472e-02
9.363999999999999060e-03,2.125000000000000500e-02
9.417999999999999289e-03,2.125000000000000500e-02
9.471999999999999517e-03,2.125000000000000500e-02
9.525999999999999746e-03,2.093750000000000472e-02
9.579999999999998239e-03,2.062500000000000444e-02
9.633999999999998468e-03,2.031250000000000416e-02
9.687999999999998696e-03,1.968750000000000361e-02
9.741999999999998924e-03,1.906250000000000305e-02
9.795999999999999153e-03,1.812500000000000222e-02
9.849999999999999381e-03,1.750000000000000167e-02
9.903999999999999609e-03,1.656250000000000430e-02
9.957999999999998103e-03,1.500000000000000291e-02
1.001199999999999833e-02,1.406250000000000208e-02
1.006599999999999856e-02,1.281250000000000444e-02
1.011999999999999879e-02,1.187500000000000361e-02
1.017399999999999902e-02,1.093750000000000278e-02
1.022799999999999924e-02,1.031250000000000222e-02
1.028199999999999947e-02,9.062500000000001110e-03
1.033599999999999970e-02,8.437500000000004025e-03
1.038999999999999820e-02,7.187500000000002914e-03
1.044399999999999842e-02,7.187500000000002914e-03
1.049799999999999865e-02,6.562500000000002359e-03
1.055199999999999888e-02,6.562500000000002359e-03
1.060599999999999911e-02,6.250000000000002082e-03
1.065999999999999934e-02,6.562500000000002359e-03
1.071399999999999957e-02,6.562500000000002359e-03
1.076799999999999806e-02,6.875000000000002637e-03
1.082199999999999829e-02,7.187500000000002914e-03
1.087599999999999852e-02,7.187500000000002914e-03
1.092999999999999874e-02,7.812500000000003469e-03
1.098399999999999897e-02,8.125000000000003747e-03
1.103799999999999920e-02,9.375000000000001388e-03
1.109199999999999943e-02,1.125000000000000305e-02
1.114599999999999966e-02,1.218750000000000389e-02
1.119999999999999815e-02,1.375000000000000180e-02
1.125399999999999838e-02,1.531250000000000319e-02
1.130799999999999861e-02,1.531250000000000319e-02
1.136199999999999884e-02,1.718750000000000139e-02
1.141599999999999906e-02,1.843750000000000250e-02
1.146999999999999929e-02,1.875000000000000278e-02
1.152399999999999952e-02,1.906250000000000305e-02
1.157799999999999975e-02,1.968750000000000361e-02
1.163199999999999824e-02,2.000000000000000389e-02
1.168599999999999847e-02,2.031250000000000416e-02
1.173999999999999870e-02,2.000000000000000389e-02
1.179399999999999893e-02,2.000000000000000389e-02
1.184799999999999916e-02,1.968750000000000361e-02
1.190199999999999939e-02,1.906250000000000305e-02
1.195599999999999961e-02,1.875000000000000278e-02
1.200999999999999811e-02,1.843750000000000250e-02
1.206399999999999834e-02,1.718750000000000139e-02
1.211799999999999856e-02,1.593750000000000375e-02
1.217199999999999879e-02,1.468750000000000264e-02
1.222599999999999902e-02,1.375000000000000180e-02
1.227999999999999925e-02,1.281250000000000444e-02
1.233399999999999948e-02,1.125000000000000305e-02
1.238799999999999971e-02,1.062500000000000250e-02
1.244199999999999820e-02,9.375000000000001388e-03
1.249599999999999843e-02,8.437500000000004025e-03
1.254999999999999866e-02,7.812500000000003469e-03
1.260399999999999889e-02,7.187500000000002914e-03
1.265799999999999911e-02,6.875000000000002637e-03
1.271199999999999934e-02,6.250000000000002082e-03
1.276599999999999957e-02,5.937500000000001804e-03
1.281999999999999806e-02,5.937500000000001804e-03
1.287399999999999829e-02,5.937500000000001804e-03
1.292799999999999852e-02,5.937500000000001804e-03
1.298199999999999875e-02,5.937500000000001804e-03
1.303599999999999898e-02,6.250000000000002082e-03
1.308999999999999921e-02,6.562500000000002359e-03
1.314399999999999943e-02,7.187500000000002914e-03
1.319799999999999966e-02,7.812500000000003469e-03
1.325199999999999816e-02,8.437500000000004025e-03
1.330599999999999838e-02,9.062500000000001110e-03
1.335999999999999861e-02,1.062500000000000250e-02
1.341399999999999884e-02,1.062500000000000250e-02
1.346799999999999907e-02,1.250000000000000416e-02
1.352199999999999930e-02,1.343750000000000153e-02
1.357599999999999953e-02,1.406250000000000208e-02
1.362999999999999802e-02,1.500000000000000291e-02
1.368399999999999825e-02,1.562500000000000347e-02
1.373799999999999848e-02,1.625000000000000402e-02
1.379199999999999871e-02,1.625000000000000402e-02
1.384599999999999893e-02,1.656250000000000430e-02
1.389999999999999916e-02,1.625000000000000402e-02
1.395399999999999939e-02,1.562500000000000347e-02
1.400799999999999962e-02,1.500000000000000291e-02
1.406199999999999811e-02,1.375000000000000180e-02
1.411599999999999834e-02,1.343750000000000153e-02
1.416999999999999857e-02,1.218750000000000389e-02
1.422399999999999880e-02,1.062500000000000250e-02
