PURE SILICA, ELECTRODE=TUNGSTEN, TIME=35, POLING_VOLTAGE=3700, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.1e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=915.0, AC_FREQUENCY=3050, PIEZO_FREQUENCY=61.0
Time(s),Voltage(V)
0.000000000000000000e+00,2.187500000000000555e-02
8.199999999999999417e-06,2.156250000000000527e-02
1.639999999999999883e-05,2.000000000000000389e-02
2.459999999999999825e-05,1.937500000000000333e-02
3.279999999999999767e-05,1.875000000000000278e-02
4.099999999999999370e-05,1.906250000000000305e-02
4.919999999999999650e-05,2.062500000000000444e-02
5.739999999999999931e-05,2.125000000000000500e-02
6.559999999999999534e-05,2.218750000000000236e-02
7.379999999999999137e-05,2.406250000000000056e-02
8.199999999999998740e-05,2.437500000000000083e-02
9.019999999999999698e-05,2.375000000000000375e-02
9.839999999999999301e-05,2.343750000000000347e-02
1.065999999999999890e-04,2.343750000000000347e-02
1.147999999999999986e-04,2.312500000000000319e-02
1.229999999999999811e-04,2.281250000000000291e-02
1.311999999999999907e-04,2.312500000000000319e-02
1.394000000000000003e-04,2.406250000000000056e-02
1.475999999999999827e-04,2.406250000000000056e-02
1.557999999999999923e-04,2.250000000000000264e-02
1.639999999999999748e-04,2.125000000000000500e-02
1.721999999999999844e-04,2.093750000000000472e-02
1.803999999999999940e-04,1.937500000000000333e-02
1.885999999999999764e-04,1.906250000000000305e-02
1.967999999999999860e-04,1.968750000000000361e-02
2.049999999999999956e-04,2.031250000000000416e-02
2.131999999999999781e-04,2.125000000000000500e-02
2.213999999999999877e-04,2.156250000000000527e-02
2.295999999999999972e-04,2.125000000000000500e-02
2.377999999999999797e-04,2.156250000000000527e-02
2.459999999999999622e-04,2.125000000000000500e-02
2.541999999999999989e-04,2.125000000000000500e-02
2.623999999999999813e-04,2.125000000000000500e-02
2.705999999999999638e-04,2.093750000000000472e-02
2.788000000000000005e-04,2.156250000000000527e-02
2.869999999999999830e-04,2.218750000000000236e-02
2.951999999999999655e-04,2.281250000000000291e-02
3.034000000000000022e-04,2.250000000000000264e-02
3.115999999999999846e-04,2.187500000000000555e-02
3.197999999999999671e-04,2.062500000000000444e-02
3.279999999999999496e-04,1.875000000000000278e-02
3.361999999999999863e-04,1.812500000000000222e-02
3.443999999999999687e-04,1.718750000000000139e-02
3.525999999999999512e-04,1.687500000000000458e-02
3.607999999999999879e-04,1.562500000000000347e-02
3.689999999999999704e-04,1.500000000000000291e-02
3.771999999999999529e-04,1.437500000000000236e-02
3.853999999999999895e-04,1.406250000000000208e-02
