AC frequency,Amplitude
250,1.06736
500,1.00694
750,0.95000
1000,0.88125
1250,0.81736
1500,0.75416
1750,0.72014
2000,0.67083
2250,0.61527
2500,0.61181
2750,0.59583
3000,0.58681
3250,0.54583
3500,0.50625
3750,0.51736
4000,0.51042
4250,0.48333
4500,0.49931
4750,0.47986
5000,0.48403
5250,0.51111
5500,0.53542
5750,0.56667
6000,0.58819
