AC Voltage,Mean Amplitude
0.25,1.0611111111111111
0.5,1.0458333333333334
0.75,1.0375
1.0,1.0472222222222223
1.25,1.0361111111111112
1.5,1.0284722222222222
1.75,1.026388888888889
2.0,1.0312500000000002
2.25,1.0277777777777777
2.5,1.0055555555555555
2.75,1.015277777777778
3.0,0.996527777777778
3.25,1.0027777777777778
3.5,0.9812500000000001
3.75,0.9784722222222223
4.0,0.9631944444444444
4.25,0.9479166666666666
4.5,0.9451388888888889
4.75,0.938888888888889
5.0,0.9340277777777778
5.25,0.9256944444444445
5.5,0.8979166666666667
5.75,0.8888888888888888
6.0,0.871527777777778
6.25,0.8777777777777778
6.5,0.838888888888889
6.75,0.8159722222222222
7.0,0.8152777777777778
7.25,0.7861111111111112
7.5,0.7680555555555556
7.75,0.7527777777777778
8.0,0.7340277777777777
8.25,0.7069444444444444
8.5,0.6902777777777779
8.75,0.6562499999999999
9.0,0.6437500000000002
9.25,0.607638888888889
9.5,0.5833333333333335
9.75,0.570138888888889
10.0,0.55
