AC Voltage,Mean Amplitude
0.25,0.10666666666666669
0.5,0.10805555555555556
0.75,0.10729166666666669
1.0,0.10604166666666666
1.25,0.10680555555555557
1.5,0.10354166666666668
1.75,0.10458333333333333
2.0,0.10270833333333335
2.25,0.10145833333333333
2.5,0.10215277777777779
2.75,0.10152777777777779
3.0,0.09993055555555555
3.25,0.09749999999999999
3.5,0.09659722222222222
3.75,0.0959027777777778
4.0,0.09506944444444444
4.25,0.09041666666666666
4.5,0.09013888888888888
4.75,0.08798611111111113
5.0,0.08520833333333333
5.25,0.08291666666666665
5.5,0.08097222222222224
5.75,0.07847222222222222
6.0,0.07548611111111111
6.25,0.07458333333333332
6.5,0.07270833333333333
6.75,0.07069444444444445
7.0,0.06666666666666668
7.25,0.06694444444444445
7.5,0.06159722222222223
7.75,0.060069444444444446
8.0,0.059375000000000004
8.25,0.056249999999999994
8.5,0.05652777777777778
8.75,0.05472222222222222
9.0,0.05506944444444445
9.25,0.06027777777777778
9.5,0.05243055555555555
9.75,0.05298611111111111
10.0,0.05374999999999999
