ELECTRODE=IRON, TIME=50, POLING_VOLTAGE=4500, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=4.11e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=1181, AC_FREQUENCY=1750, PIEZO_FREQUENCY=35.0
Time(s),Voltage(V)
-2.000000000000000096e-04,5.437499999999999556e-01
-1.855000000000000095e-04,6.062499999999999556e-01
-1.710000000000000094e-04,6.187500000000000222e-01
-1.565000000000000093e-04,6.562500000000000000e-01
-1.420000000000000092e-04,6.937499999999999778e-01
-1.275000000000000092e-04,7.437500000000000222e-01
-1.130000000000000091e-04,7.687500000000000444e-01
-9.850000000000000899e-05,7.750000000000000222e-01
-8.400000000000000890e-05,7.562499999999999778e-01
-6.950000000000000882e-05,7.437500000000000222e-01
-5.500000000000000873e-05,7.125000000000000222e-01
-4.050000000000000865e-05,6.750000000000000444e-01
-2.600000000000000856e-05,6.312499999999999778e-01
-1.150000000000000848e-05,6.187500000000000222e-01
2.999999999999991606e-06,5.812499999999999334e-01
1.749999999999999169e-05,5.562500000000000222e-01
3.199999999999999178e-05,5.499999999999999334e-01
4.649999999999996476e-05,5.499999999999999334e-01
6.099999999999999195e-05,5.249999999999999112e-01
7.550000000000001914e-05,4.687500000000000000e-01
8.999999999999999212e-05,4.499999999999999556e-01
1.044999999999999651e-04,4.874999999999999889e-01
1.189999999999999923e-04,5.000000000000000000e-01
1.335000000000000195e-04,5.062499999999999778e-01
1.479999999999999925e-04,4.874999999999999889e-01
1.624999999999999654e-04,5.499999999999999334e-01
1.769999999999999926e-04,5.749999999999999556e-01
1.915000000000000198e-04,6.124999999999999334e-01
2.059999999999999928e-04,6.562500000000000000e-01
2.204999999999999658e-04,6.687499999999999556e-01
2.349999999999999930e-04,6.624999999999999778e-01
2.495000000000000473e-04,6.437499999999999334e-01
2.640000000000000202e-04,6.250000000000000000e-01
2.784999999999999932e-04,5.999999999999999778e-01
2.929999999999999662e-04,5.999999999999999778e-01
3.075000000000000476e-04,6.124999999999999334e-01
3.220000000000000206e-04,6.062499999999999556e-01
