PURE SILICA, ELECTRODE=TUNGSTEN, TIME=35, POLING_VOLTAGE=3700, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.1e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=1063.0, AC_FREQUENCY=925, PIEZO_FREQUENCY=18.5
Time(s),Voltage(V)
0.000000000000000000e+00,2.343750000000000347e-02
2.699999999999999899e-05,2.312500000000000319e-02
5.399999999999999798e-05,1.937500000000000333e-02
8.099999999999999019e-05,2.187500000000000555e-02
1.079999999999999960e-04,2.593750000000000222e-02
1.350000000000000017e-04,2.656250000000000278e-02
1.619999999999999804e-04,2.812500000000000416e-02
1.889999999999999862e-04,3.218750000000000083e-02
2.159999999999999919e-04,3.687500000000000500e-02
2.429999999999999977e-04,3.812500000000000611e-02
2.700000000000000035e-04,4.187500000000000250e-02
2.970000000000000092e-04,4.187500000000000250e-02
3.239999999999999608e-04,4.187500000000000250e-02
3.509999999999999665e-04,4.437500000000000472e-02
3.779999999999999723e-04,4.312500000000000361e-02
4.049999999999999781e-04,4.281250000000000333e-02
4.319999999999999838e-04,4.062500000000000139e-02
4.589999999999999896e-04,4.031250000000000111e-02
4.859999999999999954e-04,3.812500000000000611e-02
5.130000000000000011e-04,3.531250000000000361e-02
5.400000000000000069e-04,3.031250000000000264e-02
5.670000000000000127e-04,2.843750000000000444e-02
5.940000000000000184e-04,2.250000000000000264e-02
6.210000000000000242e-04,2.187500000000000555e-02
6.479999999999999215e-04,2.125000000000000500e-02
6.749999999999999273e-04,2.156250000000000527e-02
7.019999999999999331e-04,2.125000000000000500e-02
7.289999999999999388e-04,2.125000000000000500e-02
7.559999999999999446e-04,2.281250000000000291e-02
7.829999999999999504e-04,2.375000000000000375e-02
8.099999999999999561e-04,2.406250000000000056e-02
8.369999999999999619e-04,2.437500000000000083e-02
8.639999999999999677e-04,2.593750000000000222e-02
8.909999999999999734e-04,2.843750000000000444e-02
9.179999999999999792e-04,2.937500000000000527e-02
9.449999999999999850e-04,2.843750000000000444e-02
9.719999999999999907e-04,2.843750000000000444e-02
9.989999999999998881e-04,2.781250000000000389e-02
1.026000000000000002e-03,2.531250000000000167e-02
1.052999999999999900e-03,2.437500000000000083e-02
1.080000000000000014e-03,2.218750000000000236e-02
1.106999999999999911e-03,2.062500000000000444e-02
1.134000000000000025e-03,1.968750000000000361e-02
1.160999999999999923e-03,2.031250000000000416e-02
1.188000000000000037e-03,2.125000000000000500e-02
1.214999999999999934e-03,2.281250000000000291e-02
1.242000000000000048e-03,2.625000000000000250e-02
1.268999999999999946e-03,2.906250000000000500e-02
1.295999999999999843e-03,3.062500000000000291e-02
1.322999999999999957e-03,3.281250000000000139e-02
1.349999999999999855e-03,3.531250000000000361e-02
1.376999999999999969e-03,3.718750000000000527e-02
1.403999999999999866e-03,3.812500000000000611e-02
1.430999999999999980e-03,3.968750000000000056e-02
1.457999999999999878e-03,4.062500000000000139e-02
1.484999999999999992e-03,3.968750000000000056e-02
1.511999999999999889e-03,3.937500000000000722e-02
1.539000000000000003e-03,3.718750000000000527e-02
1.565999999999999901e-03,3.593750000000000416e-02
1.593000000000000015e-03,3.406250000000000250e-02
