PURE SILICA, ELECTRODE=TUNGSTEN, TIME=35, POLING_VOLTAGE=3700, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=3.1e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=1069.0, AC_FREQUENCY=600, PIEZO_FREQUENCY=12.0
Time(s),Voltage(V)
-2.000000000000000096e-04,3.812500000000000611e-02
-1.580000000000000187e-04,4.062500000000000139e-02
-1.160000000000000142e-04,4.218750000000000278e-02
-7.400000000000000978e-05,4.250000000000000305e-02
-3.200000000000001888e-05,4.156250000000000222e-02
9.999999999999972019e-06,3.906250000000000000e-02
5.199999999999999002e-05,3.500000000000000333e-02
9.399999999999998092e-05,3.250000000000000111e-02
1.359999999999999718e-04,2.687500000000000305e-02
1.779999999999999627e-04,3.312500000000000167e-02
2.199999999999999536e-04,3.187500000000000056e-02
2.619999999999999716e-04,3.031250000000000264e-02
3.040000000000000167e-04,2.625000000000000250e-02
3.459999999999999534e-04,2.250000000000000264e-02
3.879999999999999985e-04,1.781250000000000194e-02
4.299999999999999352e-04,1.843750000000000250e-02
4.719999999999999803e-04,1.843750000000000250e-02
5.140000000000000254e-04,1.968750000000000361e-02
5.559999999999999621e-04,2.468750000000000111e-02
5.980000000000000072e-04,2.875000000000000472e-02
6.399999999999999439e-04,3.406250000000000250e-02
6.819999999999999890e-04,3.750000000000000555e-02
7.239999999999999257e-04,4.281250000000000333e-02
7.659999999999999708e-04,4.468750000000000500e-02
8.080000000000000160e-04,4.624999999999999944e-02
8.499999999999999526e-04,4.812500000000000111e-02
8.919999999999998893e-04,5.000000000000000278e-02
9.340000000000000429e-04,5.093750000000000361e-02
9.759999999999999796e-04,5.125000000000000389e-02
1.017999999999999808e-03,4.843750000000000139e-02
1.059999999999999745e-03,4.718750000000000722e-02
1.101999999999999898e-03,4.687500000000000000e-02
1.143999999999999835e-03,4.750000000000000056e-02
1.185999999999999771e-03,4.656250000000000666e-02
1.227999999999999925e-03,4.531250000000000555e-02
1.269999999999999862e-03,4.406250000000000444e-02
1.311999999999999798e-03,4.281250000000000333e-02
1.353999999999999735e-03,3.968750000000000056e-02
1.395999999999999889e-03,3.875000000000000666e-02
1.437999999999999825e-03,3.875000000000000666e-02
1.479999999999999762e-03,4.000000000000000083e-02
1.521999999999999915e-03,4.062500000000000139e-02
1.563999999999999852e-03,4.093750000000000167e-02
1.605999999999999789e-03,4.062500000000000139e-02
1.647999999999999726e-03,3.875000000000000666e-02
1.689999999999999879e-03,3.781250000000000583e-02
1.731999999999999816e-03,3.218750000000000083e-02
1.773999999999999969e-03,2.937500000000000527e-02
1.815999999999999906e-03,2.593750000000000222e-02
1.857999999999999843e-03,2.187500000000000555e-02
1.899999999999999779e-03,2.000000000000000389e-02
1.941999999999999716e-03,1.843750000000000250e-02
1.983999999999999653e-03,1.718750000000000139e-02
