ELECTRODE=TUNGSTEN, TIME=50, POLING_VOLTAGE=4500, WAVELENGTH=1.55e-06, EFFECTIVE_DISTANCE=4.11e-05, POLED_LENGTH=0.3, CORE_INDEX=1.45, POLE=MAX, AC_VOLTAGE=1156, AC_FREQUENCY=2750, PIEZO_FREQUENCY=55.0
Time(s),Voltage(V)
-8.000000000000000654e-05,8.593300000000000938e-02
-7.080000000000001331e-05,8.280700000000000560e-02
-6.160000000000000653e-05,7.968100000000000183e-02
-5.240000000000000652e-05,7.499200000000000310e-02
-4.320000000000000652e-05,7.499200000000000310e-02
-3.400000000000000651e-05,7.342900000000000815e-02
-2.480000000000000650e-05,7.186600000000001320e-02
-1.560000000000001327e-05,7.499200000000000310e-02
-6.400000000000006487e-06,7.968100000000000183e-02
2.800000000000000297e-06,8.280700000000000560e-02
1.199999999999999353e-05,8.749600000000000433e-02
2.119999999999998676e-05,8.905899999999999928e-02
3.039999999999999354e-05,9.531100000000000683e-02
3.960000000000000033e-05,9.687400000000000178e-02
4.879999999999998000e-05,1.000000000000000056e-01
5.799999999999998679e-05,9.843700000000001060e-02
6.719999999999999357e-05,9.374800000000001188e-02
7.640000000000000035e-05,9.374800000000001188e-02
8.560000000000000714e-05,9.218500000000000305e-02
9.479999999999998682e-05,8.905899999999999928e-02
1.039999999999999936e-04,9.374800000000001188e-02
1.132000000000000004e-04,9.531100000000000683e-02
1.223999999999999936e-04,8.905899999999999928e-02
1.316000000000000004e-04,9.062200000000000810e-02
1.408000000000000072e-04,9.218500000000000305e-02
1.500000000000000140e-04,9.062200000000000810e-02
1.592000000000000207e-04,8.593300000000000938e-02
1.684000000000000275e-04,8.437000000000000055e-02
1.775999999999999801e-04,7.968100000000000183e-02
1.867999999999999869e-04,7.968100000000000183e-02
1.959999999999999937e-04,8.124400000000001065e-02
2.052000000000000005e-04,8.437000000000000055e-02
2.144000000000000072e-04,8.749600000000000433e-02
2.236000000000000140e-04,8.905899999999999928e-02
2.328000000000000208e-04,9.374800000000001188e-02
2.420000000000000276e-04,9.531100000000000683e-02
2.512000000000000344e-04,1.015630000000000005e-01
2.603999999999999869e-04,1.062519999999999992e-01
2.695999999999999937e-04,1.093780000000000030e-01
2.788000000000000005e-04,1.125040000000000068e-01
2.880000000000000073e-04,1.171930000000000055e-01
2.972000000000000141e-04,1.187560000000000004e-01
3.064000000000000209e-04,1.203190000000000093e-01
3.156000000000000276e-04,1.218820000000000042e-01
3.247999999999999802e-04,1.218820000000000042e-01
3.339999999999999870e-04,1.156300000000000106e-01
3.431999999999999938e-04,1.109410000000000118e-01
3.524000000000000006e-04,1.046890000000000043e-01
3.616000000000000074e-04,1.015630000000000005e-01
3.708000000000000141e-04,9.843700000000001060e-02
3.800000000000000209e-04,9.374800000000001188e-02
3.892000000000000277e-04,9.062200000000000810e-02
3.984000000000000345e-04,8.437000000000000055e-02
4.075999999999999871e-04,8.124400000000001065e-02
4.168000000000000481e-04,7.811800000000000688e-02
4.260000000000000548e-04,7.655500000000001193e-02
4.351999999999999532e-04,7.811800000000000688e-02
4.443999999999999600e-04,7.811800000000000688e-02
4.535999999999999668e-04,8.280700000000000560e-02
4.627999999999999736e-04,8.593300000000000938e-02
4.719999999999999803e-04,9.062200000000000810e-02
4.811999999999999871e-04,9.687400000000000178e-02
4.903999999999999939e-04,1.000000000000000056e-01
4.996000000000000007e-04,1.000000000000000056e-01
5.088000000000000075e-04,1.000000000000000056e-01
5.180000000000000143e-04,1.000000000000000056e-01
5.272000000000000210e-04,9.687400000000000178e-02
5.364000000000000278e-04,9.687400000000000178e-02
5.456000000000000346e-04,9.218500000000000305e-02
5.548000000000000414e-04,9.062200000000000810e-02
5.640000000000000482e-04,8.749600000000000433e-02
5.732000000000000550e-04,8.593300000000000938e-02
5.824000000000000617e-04,8.593300000000000938e-02
5.915999999999999601e-04,8.593300000000000938e-02
6.007999999999999669e-04,8.593300000000000938e-02
6.099999999999999737e-04,8.749600000000000433e-02
6.191999999999999805e-04,8.905899999999999928e-02
6.283999999999999872e-04,9.062200000000000810e-02
6.375999999999999940e-04,9.531100000000000683e-02
6.468000000000000008e-04,1.015630000000000005e-01
6.560000000000000076e-04,1.031260000000000093e-01
6.652000000000000144e-04,1.062519999999999992e-01
6.744000000000000212e-04,1.078150000000000081e-01
6.836000000000000279e-04,1.093780000000000030e-01
6.928000000000000347e-04,1.062519999999999992e-01
7.020000000000000415e-04,1.031260000000000093e-01
7.112000000000000483e-04,9.843700000000001060e-02
7.204000000000000551e-04,9.374800000000001188e-02
7.295999999999999534e-04,8.905899999999999928e-02
7.387999999999999602e-04,8.124400000000001065e-02
7.479999999999999670e-04,7.968100000000000183e-02
7.571999999999999738e-04,7.342900000000000815e-02
7.663999999999999806e-04,7.030300000000000438e-02
7.755999999999999873e-04,6.717700000000001448e-02
7.847999999999999941e-04,6.405099999999999683e-02
7.940000000000000009e-04,6.248800000000000882e-02
8.032000000000000077e-04,6.405099999999999683e-02
8.124000000000000145e-04,6.561400000000000565e-02
8.216000000000000213e-04,6.874000000000000943e-02
8.308000000000000280e-04,7.342900000000000815e-02
8.400000000000000348e-04,7.811800000000000688e-02
8.492000000000000416e-04,8.437000000000000055e-02
8.584000000000000484e-04,8.749600000000000433e-02
8.676000000000000552e-04,9.062200000000000810e-02
8.768000000000000620e-04,9.218500000000000305e-02
8.859999999999999603e-04,9.218500000000000305e-02
8.951999999999999671e-04,9.218500000000000305e-02
9.044000000000000823e-04,9.062200000000000810e-02
9.136000000000000891e-04,9.218500000000000305e-02
9.228000000000000959e-04,9.062200000000000810e-02
9.320000000000001027e-04,9.218500000000000305e-02
9.412000000000001095e-04,9.218500000000000305e-02
9.503999999999998994e-04,9.374800000000001188e-02
9.595999999999999062e-04,9.531100000000000683e-02
9.687999999999999130e-04,9.687400000000000178e-02
9.779999999999999197e-04,1.000000000000000056e-01
9.871999999999999265e-04,1.031260000000000093e-01
9.963999999999999333e-04,1.078150000000000081e-01
1.005599999999999940e-03,1.093780000000000030e-01
1.014799999999999947e-03,1.125040000000000068e-01
1.023999999999999954e-03,1.156300000000000106e-01
1.033199999999999960e-03,1.171930000000000055e-01
1.042399999999999967e-03,1.171930000000000055e-01
1.051599999999999974e-03,1.140670000000000017e-01
1.060799999999999981e-03,1.125040000000000068e-01
1.069999999999999988e-03,1.078150000000000081e-01
1.079199999999999994e-03,1.015630000000000005e-01
1.088400000000000001e-03,9.531100000000000683e-02
1.097600000000000008e-03,9.062200000000000810e-02
